cuisine,full_ingredients,ingredients_processed
African,"['ground', 'ginger', 'garlic', 'granul', 'chilli', 'flake', 'dri', 'thyme', 'ground', 'cinnamon', 'ground', 'nutmeg', 'ground', 'coriand', 'tbsp', 'salt', 'tbsp', 'ground', 'black', 'pepper', 'basmati', 'rice', 'tbsp', 'oliv', 'oil', 'onion', 'dice', 'tsp', 'salt', 'quorn', 'piec', 'tbsp', 'jollof', 'spice', 'mix', 'see', 'larg', 'cucumb', 'cut', 'half', 'lengthway', 'thinli', 'slice', 'angl', 'red', 'onion', 'thinli', 'slice', 'rock', 'salt']",ground ginger garlic granul chilli flake dri thyme ground cinnamon ground nutmeg ground coriand tbsp salt tbsp ground black pepper basmati rice tbsp oliv oil onion dice tsp salt quorn piec tbsp jollof spice mix see larg cucumb cut half lengthway thinli slice angl red onion thinli slice rock salt
African,"['basmati', 'rice', 'tbsp', 'veget', 'oil', 'boneless', 'skinless', 'chicken', 'thigh', 'cut', 'half', 'onion', 'roughli', 'chop', 'garlic', 'clove', 'grate', 'piec', 'fresh', 'root', 'ginger', 'peel', 'fine', 'grate', 'red', 'chilli', 'deseed', 'fine', 'chop', 'tsp', 'smoke', 'paprika', 'tbsp', 'tomato', 'pure', 'pint', 'tomato', 'passata', 'oz', 'chicken', 'stock', 'cube', 'red', 'pepper', 'deseed', 'roughli', 'chop', 'tbsp', 'roughli', 'chop', 'fresh', 'coriand', 'freshli', 'ground', 'black', 'pepper']",basmati rice tbsp veget oil boneless skinless chicken thigh cut half onion roughli chop garlic clove grate piec fresh root ginger peel fine grate red chilli deseed fine chop tsp smoke paprika tbsp tomato pure pint tomato passata oz chicken stock cube red pepper deseed roughli chop tbsp roughli chop fresh coriand freshli ground black pepper
African,"['tbsp', 'oliv', 'veget', 'oil', 'larg', 'onion', 'slice', 'x', 'can', 'plum', 'tomato', 'red', 'pepper', 'dice', 'tbsp', 'tomato', 'pure', 'tsp', 'cayenn', 'pepper', 'chilli', 'powder', 'tsp', 'curri', 'powder', 'bay', 'leaf', 'sprig', 'fresh', 'thyme', 'stock', 'cube', 'longgrain', 'basmati', 'rice', 'salt', 'freshli', 'ground', 'black', 'pepper', 'plantain', 'cut', 'slice', 'deep', 'fri', 'green', 'leaf', 'salad']",tbsp oliv veget oil larg onion slice x can plum tomato red pepper dice tbsp tomato pure tsp cayenn pepper chilli powder tsp curri powder bay leaf sprig fresh thyme stock cube longgrain basmati rice salt freshli ground black pepper plantain cut slice deep fri green leaf salad
African,"['oz', 'passata', 'tbsp', 'tomato', 'pure', 'fresh', 'red', 'scotch', 'bonnet', 'chilli', 'seed', 'remov', 'onion', 'chop', 'red', 'pepper', 'seed', 'remov', 'roughli', 'chop', 'garlic', 'clove', 'peel', 'tbsp', 'fresh', 'rosemari', 'leav', 'tbsp', 'fresh', 'thyme', 'leav', 'tsp', 'ground', 'coriand', 'tsp', 'sweet', 'smoke', 'paprika', 'oz', 'oliv', 'oil', 'cherri', 'tomato', 'halv', 'pint', 'chicken', 'stock', 'veget', 'stock', 'bay', 'leav', 'longgrain', 'rice', 'rins', 'tbsp', 'sunflow', 'oil', 'ripe', 'plantain', 'peel', 'thickli', 'slice', 'small', 'hand', 'coriand', 'leav', 'roughli', 'chop', 'sea', 'salt', 'freshli', 'ground', 'black', 'pepper', 'green', 'salad', 'serv']",oz passata tbsp tomato pure fresh red scotch bonnet chilli seed remov onion chop red pepper seed remov roughli chop garlic clove peel tbsp fresh rosemari leav tbsp fresh thyme leav tsp ground coriand tsp sweet smoke paprika oz oliv oil cherri tomato halv pint chicken stock veget stock bay leav longgrain rice rins tbsp sunflow oil ripe plantain peel thickli slice small hand coriand leav roughli chop sea salt freshli ground black pepper green salad serv
African,"['shoulder', 'lamb', 'approxim', 'dice', 'tsp', 'ground', 'coriand', 'tsp', 'ground', 'cumin', 'tsp', 'garam', 'masala', 'tsp', 'ground', 'turmer', 'tbsp', 'tamarind', 'past', 'tsp', 'dri', 'chilli', 'tsp', 'fennel', 'seed', 'garlic', 'clove', 'cinnamon', 'stick', 'garlic', 'clove', 'fine', 'grate', 'red', 'chilli', 'fine', 'chop', 'piec', 'fresh', 'root', 'ginger', 'fine', 'grate', 'tbsp', 'sunflow', 'oil', 'onion', 'thinli', 'slice', 'tsp', 'dri', 'chilli', 'flake', 'tsp', 'fennel', 'seed', 'garlic', 'clove', 'piec', 'fresh', 'root', 'ginger', 'fine', 'grate', 'tbsp', 'tomato', 'pure', 'tin', 'chop', 'tomato', 'larg', 'hand', 'dri', 'apricot', 'roughli', 'chop', 'tbsp', 'apricot', 'chutney', 'desicc', 'coconut', 'bunch', 'fresh', 'coriand', 'roughli', 'chop', 'serv', 'fresh', 'coconut', 'grate', 'serv', 'dri', 'couscou', 'small', 'cucumb', 'dice', 'pomegran', 'seed', 'bunch', 'fresh', 'basil', 'roughli', 'chop', 'bunch', 'flatleaf', 'parsley', 'roughli', 'chop', 'bunch', 'fresh', 'coriand', 'roughli', 'chop', 'hand', 'dri', 'apricot', 'roughli', 'chop', 'spring', 'onion', 'roughli', 'chop']",shoulder lamb approxim dice tsp ground coriand tsp ground cumin tsp garam masala tsp ground turmer tbsp tamarind past tsp dri chilli tsp fennel seed garlic clove cinnamon stick garlic clove fine grate red chilli fine chop piec fresh root ginger fine grate tbsp sunflow oil onion thinli slice tsp dri chilli flake tsp fennel seed garlic clove piec fresh root ginger fine grate tbsp tomato pure tin chop tomato larg hand dri apricot roughli chop tbsp apricot chutney desicc coconut bunch fresh coriand roughli chop serv fresh coconut grate serv dri couscou small cucumb dice pomegran seed bunch fresh basil roughli chop bunch flatleaf parsley roughli chop bunch fresh coriand roughli chop hand dri apricot roughli chop spring onion roughli chop
African,"['tbsp', 'oliv', 'oil', 'small', 'onion', 'chop', 'carrot', 'dice', 'red', 'pepper', 'seed', 'remov', 'chop', 'yellow', 'pepper', 'seed', 'remov', 'chop', 'green', 'pepper', 'seed', 'remov', 'chop', 'green', 'bean', 'chop', 'tomato', 'chop', 'chilli', 'seed', 'remov', 'flesh', 'chop', 'salt', 'freshli', 'ground', 'black', 'pepper', 'white', 'cornmeal', 'meali', 'meal', 'small', 'cabbag', 'season', 'veget', 'shred', 'small', 'onion', 'chop', 'tomato', 'chop', 'tbsp', 'peanut', 'butter']",tbsp oliv oil small onion chop carrot dice red pepper seed remov chop yellow pepper seed remov chop green pepper seed remov chop green bean chop tomato chop chilli seed remov flesh chop salt freshli ground black pepper white cornmeal meali meal small cabbag season veget shred small onion chop tomato chop tbsp peanut butter
African,"['red', 'pepper', 'deseed', 'chop', 'brown', 'onion', 'roughli', 'chop', 'garlic', 'clove', 'fine', 'chop', 'grate', 'piec', 'fresh', 'root', 'ginger', 'peel', 'fine', 'grate', 'gener', 'pinch', 'red', 'chilli', 'flake', 'plu', 'extra', 'desir', 'tbsp', 'veget', 'oil', 'brown', 'onion', 'fine', 'chop', 'garlic', 'clove', 'fine', 'chop', 'tsp', 'chilli', 'powder', 'tsp', 'smoke', 'paprika', 'bay', 'leaf', 'tsp', 'caster', 'sugar', 'tsp', 'allspic', 'heap', 'tbsp', 'tomato', 'pure', 'tin', 'chop', 'tomato', 'salt', 'freshli', 'ground', 'black', 'pepper', 'small', 'hand', 'chop', 'fresh', 'basil', 'garnish', 'cauliflow', 'cut', 'floret', 'tbsp', 'oliv', 'oil', 'smoke', 'bacon', 'rasher', 'back', 'streaki', 'chop', 'option', 'garlic', 'clove', 'fine', 'chop', 'brown', 'onion', 'fine', 'chop', 'piec', 'fresh', 'root', 'ginger', 'fine', 'grate', 'yellow', 'pepper', 'deseed', 'fine', 'chop', 'veget', 'stock', 'cube', 'salt', 'freshli', 'ground', 'black', 'pepper']",red pepper deseed chop brown onion roughli chop garlic clove fine chop grate piec fresh root ginger peel fine grate gener pinch red chilli flake plu extra desir tbsp veget oil brown onion fine chop garlic clove fine chop tsp chilli powder tsp smoke paprika bay leaf tsp caster sugar tsp allspic heap tbsp tomato pure tin chop tomato salt freshli ground black pepper small hand chop fresh basil garnish cauliflow cut floret tbsp oliv oil smoke bacon rasher back streaki chop option garlic clove fine chop brown onion fine chop piec fresh root ginger fine grate yellow pepper deseed fine chop veget stock cube salt freshli ground black pepper
African,"['tbsp', 'ground', 'ginger', 'tbsp', 'ground', 'cinnamon', 'tbsp', 'ground', 'nutmeg', 'tbsp', 'cayenn', 'pepper', 'tbsp', 'ground', 'clove', 'dri', 'blackey', 'bean', 'x', 'tin', 'blackey', 'bean', 'drain', 'rins', 'oz', 'veget', 'oil', 'red', 'onion', 'fine', 'chop', 'piec', 'fresh', 'root', 'ginger', 'fine', 'grate', 'tbsp', 'dri', 'chilli', 'flake', 'red', 'scotch', 'bonnet', 'chilli', 'deseed', 'dice', 'tsp', 'curri', 'powder', 'tbsp', 'chilli', 'powder', 'x', 'tin', 'chop', 'tomato', 'plum', 'tomato', 'roughli', 'chop', 'tbsp', 'tomato', 'pure', 'tsp', 'sea', 'salt', 'ground', 'black', 'pepper', 'garri', 'garnish', 'heap', 'tbsp', 'kelewel', 'dri', 'spice', 'mix', 'small', 'red', 'onion', 'grate', 'fresh', 'root', 'ginger', 'grate', 'pinch', 'sea', 'salt', 'veget', 'oil', 'deepfri', 'ripe', 'plantain', 'peel', 'cut', 'chip', 'hand', 'roast', 'peanut', 'crush', 'hand', 'micro', 'coriand', 'cress', 'red', 'chilli', 'thinli', 'slice', 'hand', 'nasturtium', 'flower', 'leav']",tbsp ground ginger tbsp ground cinnamon tbsp ground nutmeg tbsp cayenn pepper tbsp ground clove dri blackey bean x tin blackey bean drain rins oz veget oil red onion fine chop piec fresh root ginger fine grate tbsp dri chilli flake red scotch bonnet chilli deseed dice tsp curri powder tbsp chilli powder x tin chop tomato plum tomato roughli chop tbsp tomato pure tsp sea salt ground black pepper garri garnish heap tbsp kelewel dri spice mix small red onion grate fresh root ginger grate pinch sea salt veget oil deepfri ripe plantain peel cut chip hand roast peanut crush hand micro coriand cress red chilli thinli slice hand nasturtium flower leav
African,"['goat', 'meat', 'cut', 'piec', 'salt', 'freshli', 'ground', 'black', 'pepper', 'tbsp', 'veget', 'oil', 'butter', 'larg', 'onion', 'fine', 'chop', 'garlic', 'clove', 'chop', 'carrot', 'fine', 'chop', 'tsp', 'tomato', 'pure', 'tsp', 'clove', 'tsp', 'ginger', 'powder', 'pinch', 'cayenn', 'pepper', 'tbsp', 'lemon', 'juic', 'oz', 'lamb', 'beef', 'stock', 'sprig', 'fresh', 'thyme', 'bay', 'leaf', 'salt', 'freshli', 'ground', 'black', 'pepper', 'medium', 'cabbag', 'shred', 'salt', 'tbsp', 'tast', 'peanut', 'butter', 'millet', 'cook', 'accord', 'packet', 'instruct']",goat meat cut piec salt freshli ground black pepper tbsp veget oil butter larg onion fine chop garlic clove chop carrot fine chop tsp tomato pure tsp clove tsp ginger powder pinch cayenn pepper tbsp lemon juic oz lamb beef stock sprig fresh thyme bay leaf salt freshli ground black pepper medium cabbag shred salt tbsp tast peanut butter millet cook accord packet instruct
African,"['smoke', 'paprika', 'cayenn', 'pepper', 'ginger', 'powder', 'garlic', 'powder', 'ground', 'black', 'pepper', 'onion', 'salt', 'ground', 'turmer', 'extra', 'hot', 'chilli', 'powder', 'ground', 'uda', 'pod', 'also', 'known', 'selim', 'pepper', 'larg', 'egg', 'yolk', 'tsp', 'suya', 'spice', 'see', 'tsp', 'fresh', 'lemon', 'juic', 'oz', 'rapese', 'oil', 'tsp', 'justboil', 'water', 'peel', 'deseed', 'watermelon', 'cut', 'cube', 'cucumb', 'cut', 'cube', 'feta', 'chees', 'cut', 'cube', 'tbsp', 'fine', 'chop', 'fresh', 'curli', 'leaf', 'parsley', 'larg', 'pinch', 'nigella', 'seed', 'toast', 'purpl', 'sweet', 'potato', 'see', 'tip', 'sweet', 'potato', 'veget', 'oil', 'deep', 'fri', 'medium', 'red', 'onion', 'cut', 'ring', 'tbsp', 'oliv', 'oil', 'fri', 'tsp', 'golden', 'caster', 'sugar', 'x', 'beef', 'fillet', 'steak', 'tsp', 'coars', 'ground', 'black', 'pepper', 'white', 'ciabatta', 'roll', 'cut', 'half', 'tbsp', 'suyannais', 'see', 'beef', 'tomato', 'slice', 'round', 'littl', 'gem', 'lettuc', 'shred', 'tsp', 'suya', 'spice', 'plu', 'extra', 'tast', 'smoke', 'cheddar', 'grate']",smoke paprika cayenn pepper ginger powder garlic powder ground black pepper onion salt ground turmer extra hot chilli powder ground uda pod also known selim pepper larg egg yolk tsp suya spice see tsp fresh lemon juic oz rapese oil tsp justboil water peel deseed watermelon cut cube cucumb cut cube feta chees cut cube tbsp fine chop fresh curli leaf parsley larg pinch nigella seed toast purpl sweet potato see tip sweet potato veget oil deep fri medium red onion cut ring tbsp oliv oil fri tsp golden caster sugar x beef fillet steak tsp coars ground black pepper white ciabatta roll cut half tbsp suyannais see beef tomato slice round littl gem lettuc shred tsp suya spice plu extra tast smoke cheddar grate
African,"['chicken', 'breast', 'cut', 'three', 'long', 'strip', 'tsp', 'crush', 'black', 'peppercorn', 'pinch', 'cayenn', 'pepper', 'tsp', 'ground', 'cinnamon', 'tsp', 'ground', 'ginger', 'tsp', 'chilli', 'tsp', 'turmer', 'tsp', 'coriand', 'seed', 'tsp', 'ground', 'cumin', 'lime', 'juic', 'tbsp', 'oliv', 'oil', 'lemon', 'grass', 'stalk', 'fresh', 'ginger', 'chop', 'larg', 'garlic', 'clove', 'crush', 'shallot', 'fine', 'chop', 'red', 'chilli', 'chop', 'tsp', 'garam', 'masala', 'tsp', 'ground', 'turmer', 'oz', 'coconut', 'milk', 'tin', 'chop', 'tomato', 'tbsp', 'coriand', 'leav', 'papaya', 'peel', 'slice', 'lengthway', 'red', 'onion', 'peel', 'slice', 'lime', 'juic', 'oliv', 'oil', 'dash', 'sweet', 'chilli', 'sauc', 'rice', 'serv']",chicken breast cut three long strip tsp crush black peppercorn pinch cayenn pepper tsp ground cinnamon tsp ground ginger tsp chilli tsp turmer tsp coriand seed tsp ground cumin lime juic tbsp oliv oil lemon grass stalk fresh ginger chop larg garlic clove crush shallot fine chop red chilli chop tsp garam masala tsp ground turmer oz coconut milk tin chop tomato tbsp coriand leav papaya peel slice lengthway red onion peel slice lime juic oliv oil dash sweet chilli sauc rice serv
African,"['tbsp', 'groundnut', 'oil', 'larg', 'chicken', 'joint', 'piec', 'skin', 'onion', 'fine', 'chop', 'garlic', 'clove', 'crush', 'green', 'chilli', 'chop', 'green', 'red', 'tomato', 'fine', 'chop', 'tsp', 'ground', 'turmer', 'tsp', 'cumin', 'seed', 'tsp', 'coriand', 'seed', 'green', 'cardamom', 'pod', 'lime', 'juic', 'pint', 'chicken', 'stock', 'x', 'oz', 'can', 'coconut', 'milk', 'bunch', 'basil', 'cook', 'basmati', 'rice', 'serv']",tbsp groundnut oil larg chicken joint piec skin onion fine chop garlic clove crush green chilli chop green red tomato fine chop tsp ground turmer tsp cumin seed tsp coriand seed green cardamom pod lime juic pint chicken stock x oz can coconut milk bunch basil cook basmati rice serv
African,"['bonein', 'chicken', 'thigh', 'drumstick', 'larg', 'onion', 'roughli', 'chop', 'scotch', 'bonnet', 'chilli', 'deseed', 'fine', 'chop', 'tbsp', 'fresh', 'dri', 'thyme', 'leav', 'tbsp', 'crayfish', 'powder', 'avail', 'onlin', 'specialist', 'guinea', 'pepper', 'also', 'known', 'grain', 'paradis', 'crush', 'larg', 'tomato', 'roughli', 'chop', 'tomato', 'pure', 'tsp', 'salt', 'tbsp', 'peanut', 'oil', 'sunflow', 'oil', 'larg', 'onion', 'fine', 'chop', 'garlic', 'clove', 'crush', 'tsp', 'ground', 'hot', 'chilli', 'powder', 'longgrain', 'white', 'rice', 'wash', 'drain', 'hand', 'chop', 'fresh', 'parsley', 'coriand', 'garnish']",bonein chicken thigh drumstick larg onion roughli chop scotch bonnet chilli deseed fine chop tbsp fresh dri thyme leav tbsp crayfish powder avail onlin specialist guinea pepper also known grain paradis crush larg tomato roughli chop tomato pure tsp salt tbsp peanut oil sunflow oil larg onion fine chop garlic clove crush tsp ground hot chilli powder longgrain white rice wash drain hand chop fresh parsley coriand garnish
American,"['selfrais', 'flour', 'sift', 'tsp', 'bake', 'powder', 'pinch', 'salt', 'tsp', 'ground', 'cinnamon', 'light', 'brown', 'sugar', 'oz', 'milk', 'freerang', 'egg', 'beaten', 'butter', 'melt', 'toast', 'hazelnut', 'chop', 'dri', 'cherri', 'dri', 'apricot', 'chop', 'dri', 'cranberri', 'raisin', 'sultana', 'crunchi', 'granola', 'muesli', 'option']",selfrais flour sift tsp bake powder pinch salt tsp ground cinnamon light brown sugar oz milk freerang egg beaten butter melt toast hazelnut chop dri cherri dri apricot chop dri cranberri raisin sultana crunchi granola muesli option
