cuisine,recipe,ingredients
African,Jollof Quorn pilau with salted cucumber ,"['ground ginger', 'garlic', 'chilli', 'thyme', 'cinnamon', 'nutmeg', 'coriander', 'salt', 'black pepper', 'basmati rice', 'olive oil', 'onion', 'salt', 'Quorn', 'cucumber', 'red onion', 'rock salt']"
African,Jollof rice with chicken ,"['basmati rice', 'vegetable oil', 'chicken thighs', 'onion', 'garlic', 'ginger', 'chilli', 'paprika', 'tomato', 'passata', 'chicken stock', 'peppers', 'fresh coriander', 'black pepper']"
African,Jollof rice with fried plantains,"['vegetable oil', 'onions', 'tomatoes', 'pepper', 'tomato purée', 'cayenne pepper', 'curry powder', 'bay leaf', 'thyme', 'stock', 'rice', 'black pepper', 'plantains']"
African,Jollof rice,"['passata', 'tomato purée', 'Scotch bonnet chillies', 'onions', 'peppers', 'garlic', 'rosemary', 'thyme', 'coriander', 'smoked paprika', 'olive oil', 'cherry tomatoes', 'vegetable stock', 'bay leaves', 'long-grain rice', 'sunflower oil', 'plantains', 'coriander', 'black pepper', 'salad']"
African,Lamb and apricot Cape Malay curry ,"['lamb', 'coriander', 'cumin', 'garam masala', 'turmeric', 'tamarind', 'dried chillies', 'fennel seeds', 'garlic', 'cinnamon', 'garlic', 'chilli', 'ginger', 'oil', 'onions', 'fennel seeds', 'garlic', 'ginger', 'tomato', 'tomatoes', 'dried apricots', 'apricot', 'desiccated coconut', 'coriander', 'coconut', 'couscous', 'cucumber', 'pomegranate', 'basil', 'parsley', 'coriander', 'dried apricots', 'spring onions']"
African,Vegan chilli with peanut butter cabbage,"['olive oil', 'onion', 'carrots', 'pepper', 'pepper', 'pepper', 'green beans', 'tomatoes', 'chillies', 'cabbage', 'onion', 'tomato', 'peanut butter']"
African,Nigerian stew and cauliflower fried ‘rice’,"['pepper', 'onion', 'garlic', 'ginger', 'vegetable oil', 'onion', 'garlic', 'chilli powder', 'smoked paprika', 'bay leaf', 'caster sugar', 'allspice', 'tomato purée', 'chopped tomatoes', 'black pepper', 'basil', 'cauliflower', 'olive oil', 'bacon', 'garlic', 'onion', 'ginger', 'pepper', 'vegetable stock', 'black pepper']"
African,Red-red stew with spiced plantain,"['ground ginger', 'cinnamon', 'nutmeg', 'cayenne pepper', 'cloves', 'vegetable oil', 'red onions', 'ginger', 'dried chilli', 'scotch bonnet chilli', 'curry powder', 'chilli powder', 'chopped tomatoes', 'tomatoes', 'tomato purée', 'sea salt', 'black pepper', 'red onion', 'ginger', 'sea salt', 'vegetable oil', 'plantains', 'peanuts']"
African,Goat stew,"['goat', 'black pepper', 'vegetable oil', 'butter', 'onion', 'garlic', 'carrots', 'tomato purée', 'cloves', 'ginger', 'cayenne pepper', 'lemon juice', 'beef stock', 'thyme', 'bay leaf', 'black pepper', 'cabbage', 'salt', 'peanut butter', 'millet']"
African,Suya beef fillet burger,"['smoked paprika', 'cayenne pepper', 'ginger', 'garlic', 'black pepper', 'onion', 'turmeric', 'chilli powder', 'pepper', 'egg yolk', 'lemon juice', 'rapeseed oil', 'watermelon', 'cucumber', 'cheese', 'parsley', 'nigella seeds', 'sweet potato', 'sweet potato', 'vegetable oil', 'red onion', 'olive oil', 'caster sugar', 'black pepper', 'ciabatta', 'beef tomato', 'Little Gem lettuce', 'cheddar']"
African,Swahili chicken and papaya salad,"['chicken breasts', 'peppercorns', 'cayenne pepper', 'cinnamon', 'ground ginger', 'chilli', 'turmeric', 'coriander seeds', 'cumin', 'lime', 'olive oil', 'lemon', 'ginger', 'garlic', 'shallots', 'garam masala', 'turmeric', 'coconut milk', 'chopped tomatoes', 'coriander', 'papaya', 'red onion', 'lime', 'olive oil', 'chilli sauce', 'rice']"
African,Zanzibar chicken,"['chicken', 'onions', 'garlic', 'turmeric', 'cumin', 'coriander seeds', 'cardamom', 'limes', 'chicken stock', 'coconut milk', 'basil', 'basmati rice']"
African,Zoe’s jollof ,"['chicken thighs', 'onion', 'Scotch bonnet chilli', 'thyme', 'tomatoes', 'tomato purée', 'salt', 'sunflower oil', 'onion', 'garlic', 'chilli powder', 'rice', 'coriander']"
American,Breakfast muffins,"['self-raising flour', 'baking powder', 'salt', 'cinnamon', 'brown sugar', 'milk', 'eggs', 'butter', 'hazelnuts', 'dried cherries', 'cranberries']"
American,American baked cheesecake,"['caster sugar', 'lemons', 'cornflour', 'sultanas', 'cream cheese', 'eggs', 'vanilla essence', 'vanilla pod', 'single cream', 'bananas', 'butter', 'sugar', 'maple syrup', 'basil']"
American,Gluten-free American buttermilk pancakes,"['buttermilk', 'egg', 'butter', 'tapioca', 'salt', 'bicarbonate of soda', 'clarified butter', 'butter', 'bacon', 'maple syrup']"
American,Chocolate ripple cheesecake,"['digestive biscuits', 'butter', 'caster sugar', 'eggs']"
American,American-style pancakes with bacon and maple syrup,"['plain flour', 'baking powder', 'caster sugar', 'eggs', 'milk', 'butter', 'bacon', 'maple syrup']"
American,American style pancakes with sausage,"['sausagemeat', 'self-raising flour', 'baking powder', 'salt', 'buttermilk', 'eggs', 'butter', 'maple syrup']"
American,Blueberry pancakes,"['flour', 'baking powder', 'cinnamon', 'buttermilk', 'eggs', 'butter', 'vanilla extract', 'blueberries', 'butter', 'cinnamon', 'salt', 'maple syrup']"
American,Angel food cake with lemon curd,"['plain flour', 'caster sugar', 'egg whites', 'lemons', 'lemon juice', 'cream of tartar', 'salt', 'egg yolks', 'caster sugar', 'lemons', 'lemons', 'butter', 'passion fruit', 'whipping cream', 'vanilla extract']"
American,Apple and blueberry cobbler,"['Bramley apples', 'butter', 'caster sugar', 'ground almonds', 'eggs', 'almonds']"
American,Toffee apple muffins,"['eggs', 'caster sugar', 'milk', 'butter', 'plain flour', 'baking powder', 'salt', 'cinnamon', 'apples', 'toffee']"
American,Apple and raisin muffins,"['honey', 'apples', 'five-spice powder', 'mixed spice', 'eggs', 'sesame oil', 'milk', 'bananas', 'self-raising flour', 'bicarbonate of soda', 'raisins', 'oats', 'brown sugar']"
American,Apple and white chocolate rocky road ,"['white chocolate', 'golden syrup', 'butter', 'salt', 'cinnamon', 'biscuits', 'marshmallows', 'marshmallows', 'apples', 'raisins', 'icing sugar']"
American,Avocado salad,"['red onion', 'cannellini beans', 'avocado', 'cherry tomatoes', 'basil', 'lemon', 'olive oil', 'pepper']"
American,Bacon and chilli cornbread,"['corn oil', 'bacon', 'spring onions', 'dried chilli', 'polenta', 'plain flour', 'caster sugar', 'baking powder', 'salt', 'buttermilk', 'eggs', 'maple syrup', 'black pepper', 'butter']"
American,Bacon waffles with poached eggs and hollandaise sauce,"['plain flour', 'baking powder', 'salt', 'caster sugar', 'eggs', 'milk', 'butter', 'bacon', 'bacon', 'shallot', 'peppercorns', 'bay leaf', 'white wine vinegar', 'egg yolks', 'butter', 'black pepper', 'white wine vinegar', 'eggs', 'bacon', 'chives']"
American,Baked Alaska,"['double cream', 'milk', 'vanilla pod', 'egg yolks', 'caster sugar', 'egg whites', 'caster sugar', 'cherry', 'sponge cake']"
American,Baked Alaska with sautéed apples,"['caster sugar', 'eggs', 'plain flour', 'butter', 'Bramley apples', 'butter', 'caster sugar', 'caster sugar', 'egg whites', 'Calvados', 'ice cream', 'butter', 'apples', 'brandy']"
American,Baked crab 'poblano' with achiote,"['chilli', 'butter', 'red onion', 'garlic', 'orange juice', 'chillies', 'tomatoes', 'crab', 'fresh coriander', 'salt', 'breadcrumbs', 'Parmesan']"
American,Banana bread,"['plain flour', 'bicarbonate of soda', 'salt', 'butter', 'caster sugar', 'eggs', 'bananas', 'buttermilk', 'vanilla extract']"
American,Banana muffins,"['butter', 'self-raising flour', 'baking powder', 'bicarbonate of soda', 'salt', 'cinnamon', 'nutmeg', 'caster sugar', 'vanilla extract', 'bananas', 'eggs', 'milk', 'walnut', 'bananas', 'walnut', 'yoghurt', 'honey']"
American,Bananas Foster,"['butter', 'brown sugar', 'cinnamon', 'liqueur', 'bananas', 'rum', 'ice cream']"
American,Banana cake,"['butter', 'plain flour', 'bananas', 'maple syrup', 'milk', 'caster sugar', 'eggs', 'baking powder', 'pecan', 'double cream']"
American,Healthy banana muffins,"['wholemeal flour', 'sugar', 'baking powder', 'egg', 'yoghurt', 'rapeseed oil', 'bananas']"
American,Banana and bacon pancakes,"['butter', 'baking powder', 'eggs', 'brown sugar', 'milk', 'banana', 'sunflower oil', 'bacon', 'golden syrup']"
American,Barbecue ribs with celeriac slaw,"['celery', 'onion', 'chillies', 'garlic', 'apple juice', 'ketchup', 'sugar', 'Worcestershire sauce', 'smoked paprika', 'smoked paprika', 'white wine vinegar', 'egg yolks', 'Dijon mustard', 'vinegar', 'rapeseed oil', 'acidulated water', 'parsley', 'black pepper']"
American,BBQ sauce,"['onion', 'garlic', 'olive oil', 'chilli', 'fennel seeds', 'brown sugar', 'soy sauce', 'ketchup', 'pepper']"
American,BBQ chicken with coleslaw,"['vinegar', 'brown sugar', 'paprika', 'Dijon mustard', 'soy sauce', 'black pepper', 'chicken thighs', 'red cabbage', 'carrots', 'red onion', 'radishes', 'spring onions', 'limes', 'onion', 'sunflower seeds', 'pumpkin seeds', 'fresh coriander', 'mint']"
American,Beef burgers,"['onion', 'parsley', 'pepper']"
American,Beef burgers with beetroot and carrot slaw,"['mince', 'breadcrumbs', 'Dijon mustard', 'tomato', 'onion', 'marjoram', 'parsley', 'egg yolk', 'oil', 'black pepper', 'mayonnaise', 'sugar', 'horseradish sauce', 'carrot', 'beetroot', 'celery', 'spring onions', 'parsley', 'Dijon mustard', 'brioche', 'tomatoes', 'gherkins']"
American,How to make chilli con carne,"['red onion', 'olive oil', 'carrot', 'garlic', 'chilli powder', 'paprika', 'oregano', 'beef mince', 'tomato purée', 'kidney beans', 'pepper', 'chopped tomatoes', 'beef stock', 'black pepper', 'dark chocolate', 'coriander', 'rice', 'fresh coriander', 'soured cream']"
American,"Beef ribs with barbecue sauce, baked potato and chive soured cream","['beef ribs', 'onion', 'garlic', 'fennel seeds', 'star anise', 'potatoes', 'oil', 'black pepper', 'double cream', 'lemon', 'chives', 'butter', 'onion', 'garlic', 'chillies', 'fennel seeds', 'star anise', 'sugar', 'ketchup', 'chipotle', 'soy sauce']"
American,Beer-marinated rack of pork with Swiss-chard gratin,"['sea salt', 'brown sugar', 'black peppercorns', 'garlic', 'bay leaves', 'mustard seeds', 'thyme', 'parsley', 'beer', 'butter', 'brioche', 'English mustard', 'mustard seeds', 'Swiss chard', 'potatoes', 'onion', 'butter', 'plain flour', 'milk', 'chicken stock', 'Gruyère', 'black pepper']"
American,Beer can chicken with garlic butter jacket potatoes,"['paprika', 'paprika', 'chilli', 'Dijon mustard', 'red wine vinegar', 'limes', 'lime', 'lemons', 'lemon', 'olive oil', 'chicken', 'potatoes', 'garlic', 'beer', 'chives', 'butter', 'black pepper', 'lettuce', 'tomatoes', 'cucumber', 'olive oil']"
American,Berry crumble traybake,"['blackcurrants', 'caster sugar', 'cornflour', 'plain flour', 'butter', 'caster sugar', 'plain flour', 'baking powder', 'cinnamon', 'ground almonds', 'caster sugar', 'butter', 'eggs', 'yoghurt']"
American,Better for you chocolate brownies,"['chocolate', 'eggs', 'vegetable oil', 'brown sugar', 'almond extract', 'plain flour', 'baking powder']"
American,The Hairy Bikers' cherry pecan brownies,"['butter', 'caster sugar', 'brown sugar', 'eggs', 'plain flour', 'cocoa powder', 'dark chocolate', 'white chocolate', 'cherries']"
American,Blueberry muffins with Bourbon berries and ice cream,"['eggs', 'caster sugar', 'milk', 'butter', 'vanilla extract', 'plain flour', 'baking powder', 'salt', 'icing sugar', 'ice cream']"
American,Blueberry muffins,"['plain flour', 'butter', 'caster sugar', 'eggs', 'baking powder', 'blueberries', 'blueberries', 'nutmeg']"
American,Blueberry pancakes with bacon,"['self-raising flour', 'bicarbonate of soda', 'caster sugar', 'egg', 'butter', 'milk', 'cottage cheese', 'butter', 'pancetta', 'eggs', 'butter', 'maple syrup']"
American,Blueberry and lemon traybake,"['butter', 'caster sugar', 'eggs', 'soured cream', 'lemon', 'self-raising flour', 'baking powder', 'blueberries', 'butter', 'icing sugar', 'cream cheese', 'lemon juice', 'blueberries']"
American,Blueberry butter,"['apples', 'blueberries', 'apple juice', 'orange', 'sugar']"
American,Blue cheese dressing,"['cheese', 'white wine vinegar', 'hazelnut oil', 'sunflower oil', 'lemon juice', 'black pepper']"
American,Boston baked beans,"['haricot beans', 'pork belly', 'brown sugar', 'treacle', 'English mustard', 'cloves', 'onions', 'onions', 'black pepper', 'salt']"
American,Bourbon-glazed sticky ribs with coleslaw and baked potatoes,"['peppercorns', 'parsley', 'onion', 'carrot', 'ketchup', 'chipotle', 'soy sauce', 'honey', 'teriyaki sauce', 'egg yolks', 'white wine vinegar', 'Dijon mustard', 'salt', 'rapeseed oil', 'olive oil', 'lemon', 'black pepper', 'carrots', 'white cabbage', 'onion', 'olive oil', 'sea salt', 'soured cream', 'parsley']"
American,Breaded chicken nuggets ,"['chicken breast', 'chicken breasts', 'plain flour', 'egg', 'breadcrumbs', 'breadcrumbs', 'breadcrumbs', 'oil', 'black pepper']"
American,Bread and butter pickle ,"['cucumbers', 'onion', 'sea salt', 'vinegar', 'sugar', 'turmeric', 'dill', 'celery seeds', 'mustard seeds', 'chilli']"
American,Buckwheat pancakes,"['buckwheat flour', 'plain flour', 'baking powder', 'salt', 'egg', 'milk', 'vegetable oil', 'maple syrup', 'yoghurt', 'berries']"
American,Buffalo wings,"['chicken wings', 'oil', 'celery', 'black pepper', 'butter', 'cloves', 'vinegar', 'sugar', 'cheese', 'onion', 'buttermilk', 'vinegar']"
American,Buttermilk pancakes with maple bacon,"['self-raising flour', 'bicarbonate of soda', 'salt', 'caster sugar', 'buttermilk', 'milk', 'eggs', 'butter', 'bacon', 'maple syrup']"
American,Butternut squash and pumpkin pie with custard,"['plain flour', 'butter', 'egg', 'caster sugar', 'milk', 'plain flour', 'egg wash', 'pumpkin', 'butternut squash', 'brown sugar', 'double cream', 'honey', 'cinnamon', 'nutmeg', 'allspice', 'ground ginger', 'eggs', 'egg yolks', 'caster sugar', 'vanilla pod', 'milk']"
American,Butterscotch sauce,"['butter', 'brown sugar', 'golden syrup', 'vanilla pod', 'lemon juice', 'double cream']"
American,Avocado and bacon salad,"['bacon', 'Little Gem lettuce', 'avocado', 'lemon', 'olive oil', 'garlic', 'Dijon mustard', 'bread', 'oil']"
American,Caesar salad,"['egg', 'garlic', 'lime juice', 'Worcestershire sauce', 'olive oil', 'black pepper', 'white bread', 'cos lettuce', 'parmesan']"
American,Cajun chicken ,"['cumin', 'smoked paprika', 'thyme', 'oregano', 'chilli', 'garlic', 'olive oil', 'lemon', 'lemon', 'chicken breasts', 'sweet potatoes', 'olive oil', 'smoked paprika', 'black pepper']"
American,Cajun mayo,"['mayonnaise', 'ketchup', 'Dijon mustard']"
American,Cajun seasoning,"['sea salt', 'paprika', 'garlic', 'white pepper', 'onion', 'cumin', 'cayenne pepper', 'oregano', 'thyme', 'basil']"
American,Californian sourdough chicken open sandwich,"['chicken breast', 'sourdough bread', 'olive oil', 'Little Gem lettuce', 'tomatoes', 'avocado', 'black pepper', 'soured cream', 'mayonnaise', 'Chipotles']"
American,Candied sweet potatoes,"['sweet potatoes', 'sweet potatoes', 'brown sugar', 'butter', 'cinnamon', 'vanilla essence', 'orange', 'marshmallows']"
American,Carrot cake traybake,"['sunflower oil', 'brown sugar', 'eggs', 'golden syrup', 'self-raising flour', 'cinnamon', 'allspice', 'ground ginger', 'bicarbonate of soda', 'carrots', 'sultanas', 'coconut', 'marmalade', 'cream cheese', 'coconut cream', 'icing sugar', 'cinnamon']"
American,Chargrilled chicken Caesar wraps ,"['chicken breasts', 'olive oil', 'black pepper', 'lettuce', 'parmesan', 'flour tortilla', 'garlic', 'egg yolk', 'Dijon mustard', 'lemon juice', 'black pepper', 'olive oil']"
American,Cheesecake brownies,"['dark chocolate', 'butter', 'eggs', 'caster sugar', 'coffee', 'flour', 'cream cheese', 'caster sugar', 'egg', 'orange']"
American,Cheesecake brownies with nutty caramel ,"['butter', 'dark chocolate', 'eggs', 'brown sugar', 'coffee', 'plain flour', 'cocoa powder', 'salt', 'mixed nuts', 'dulce de leche', 'salt', 'cream cheese', 'caster sugar', 'eggs', 'almond extract', 'orange', 'plain flour', 'cocoa powder']"
American,Cheesesteak sandwich with grilled onions,"['sirloin', 'olive oil', 'black pepper', 'onion', 'mushrooms', 'pepper', 'taleggio', 'baguette']"
American,Cheese and chutney strata,"['olive oil', 'spinach', 'garlic', 'chutney', 'baguette', 'eggs', 'milk', 'cheddar', 'cheese', 'rosemary', 'black pepper']"
American,Cheese and ham waffles with hollandaise sauce and poached eggs,"['egg yolks', 'butter', 'lemon', 'chives', 'sea salt', 'plain flour', 'baking powder', 'salt', 'caster sugar', 'eggs', 'milk', 'butter', 'ham', 'Cheddar', 'eggs', 'white wine vinegar', 'sea salt', 'butter', 'spinach']"
American,Cherry pie,"['cherry', 'arrowroot', 'cherries', 'plain flour', 'butter', 'caster sugar', 'egg']"
American,Chicken alfredo,"['chestnut mushrooms', 'olive oil', 'shallots', 'pancetta', 'garlic', 'chicken thighs', 'Dijon mustard', 'chicken stock', 'crème fraîche', 'tagliatelle', 'lemon', 'tarragon']"
American,Chicken meatloaf,"['olive oil', 'onion', 'garlic', 'chicken', 'bacon', 'oregano', 'lemon', 'Dijon mustard', 'Worcestershire sauce', 'double cream', 'breadcrumbs', 'egg whites', 'gruyère', 'bacon', 'ketchup', 'Worcestershire sauce', 'Dijon mustard', 'maple syrup', 'vinegar']"
American,Chicken nuggets with smoked paprika and anchovy mayo,"['egg yolks', 'white wine vinegar', 'Dijon mustard', 'lemon', 'smoked paprika', 'vegetable oil', 'sunflower oil', 'semolina', 'tapioca', 'bicarbonate of soda', 'chicken breasts', 'cayenne pepper', 'sea salt']"
American,Chicken parmigiana,"['olive oil', 'garlic', 'chopped tomatoes', 'chicken breasts', 'breadcrumbs', 'egg', 'butter', 'dried chilli', 'mozzarella', 'oregano', 'salt']"
American,Chicken and bacon ranch burger,"['chicken breasts', 'garlic', 'olive oil', 'bacon', 'burger', 'Little Gem lettuces', 'tomatoes', 'avocado', 'black pepper', 'mayonnaise', 'soured cream', 'garlic', 'dill', 'chives', 'Worcestershire sauce', 'cayenne pepper', 'Sriracha', 'white wine vinegar', 'mustard']"
American,Chiffon pie,"['plain flour', 'salt', 'butter', 'eggs', 'icing sugar', 'blueberries', 'blueberries', 'apple juice', 'caster sugar', 'vanilla extract', 'cinnamon', 'pectin', 'cornflour', 'raspberries', 'raspberries', 'caster sugar', 'gelatine', 'double cream', 'double cream', 'icing sugar', 'vanilla extract', 'raspberries', 'caster sugar', 'cornflour', 'blueberries', 'caster sugar', 'cornflour']"
American,Fluffy chocolate chip pancakes,"['eggs', 'milk', 'self-raising flour', 'caster sugar', 'salt', 'dark chocolate', 'sunflower oil', 'ice cream', 'maple syrup']"
American,Vegan chocolate and macadamia nut cookies,"['self-raising flour', 'caster sugar', 'margarine', 'dark chocolate', 'macadamia']"
American,Chocolate mocha cookies,"['eggs', 'caster sugar', 'coffee', 'butter', 'plain flour', 'baking powder', 'salt', 'macadamia', 'white chocolate']"
American,Chocolate and raspberry brownies,"['dark chocolate', 'butter', 'eggs', 'sugar', 'plain flour', 'baking powder', 'salt']"
American,Chocolate chip cookies,"['flour', 'bicarbonate of soda', 'salt', 'butter', 'caster sugar', 'brown sugar', 'vanilla extract', 'eggs', 'dark chocolate']"
American,Halloween cupcakes,"['plain flour', 'cocoa powder', 'baking powder', 'caster sugar', 'butter', 'egg', 'milk', 'cream cheese', 'butter', 'icing sugar', 'vanilla essence', 'icing sugar', 'cocoa powder']"
American,Chocolate cookie ice cream sandwich,"['butter', 'brown sugar', 'egg', 'plain flour', 'baking powder', 'bicarbonate of soda', 'salt', 'chocolate', 'chocolates', 'butter', 'sugar', 'double cream', 'cocoa powder', 'dark chocolate', 'ice cream']"
American,Chocolate fridge cake,"['digestive biscuits', 'milk chocolate', 'dark chocolate', 'butter', 'golden syrup', 'dried apricots', 'raisins', 'pecans']"
American,Chocolate and chilli mousse pie,"['chocolate biscuits', 'butter', 'butter', 'brown sugar', 'sea salt', 'dark chocolate', 'chillies', 'whipping cream', 'sugar', 'chillies', 'macadamia', 'double cream', 'icing sugar', 'lime', 'chilli powder']"
American,Chocolate bark,"['raspberries', 'pistachios', 'flaked almonds', 'sea salt', 'marshmallows']"
American,Beetroot brownies,"['dark chocolate', 'butter', 'brown sugar', 'beetroot', 'eggs', 'cocoa powder', 'salt', 'plain flour', 'ground almonds']"
American,Gooey chocolate hazelnut brownies,"['plain flour', 'cocoa powder', 'baking powder', 'salt', 'dark chocolate', 'butter', 'sugar', 'eggs', 'hazelnuts', 'hazelnut']"
American,"Chocolate, cherry and hazelnut brownies","['butter', 'dark chocolate', 'caster sugar', 'eggs', 'plain flour', 'salt', 'cherries', 'hazelnuts', 'white chocolate', 'cherries', 'icing sugar']"
American,Chocolate chip cookie dough pots,"['plain flour', 'sea salt', 'bicarbonate of soda', 'butter', 'brown sugar', 'egg', 'dark chocolate', 'ice cream']"
American,Chocolate chip traybake ,"['cocoa powder', 'eggs', 'caster sugar', 'self-raising flour', 'baking powder', 'dark chocolate', 'mascarpone', 'icing sugar', 'vanilla extract', 'cocoa powder']"
American,Chocolate cookies,"['plain flour', 'cocoa powder', 'bicarbonate of soda', 'banana', 'golden syrup', 'coconut oil', 'vanilla extract', 'chocolate']"
American,Rice krispie cakes,"['chocolate', 'butter', 'dark chocolate']"
American,Chocolate cupcakes,"['plain flour', 'cocoa powder', 'baking powder', 'bicarbonate of soda', 'caster sugar', 'salt', 'sunflower oil', 'eggs', 'milk', 'butter', 'icing sugar', 'cocoa powder', 'chocolate']"
American,Chocolate muffins,"['dark chocolate', 'butter', 'plain flour', 'cocoa powder', 'bicarbonate of soda', 'brown sugar', 'caster sugar', 'eggs', 'buttermilk', 'sunflower oil', 'vanilla extract', 'white chocolate']"
American,Chocolate chip pan cookie,"['butter', 'brown sugar', 'egg', 'vanilla extract', 'almond extract', 'plain flour', 'bicarbonate of soda', 'salt', 'chocolate']"
American,Chopped salad,"['chickpeas', 'iceberg lettuce', 'lettuce', 'salami', 'mozzarella', 'tomatoes', 'cucumber', 'basil', 'salt', 'olive oil', 'red wine vinegar', 'mustard powder', 'sugar']"
American,Christmas morning waffles,"['butter', 'plain flour', 'milk', 'eggs', 'baking powder', 'salt', 'chives', 'white wine vinegar', 'eggs', 'spinach', 'crème fraîche', 'smoked salmon']"
American,Cinnamon doughnuts,"['plain flour', 'caster sugar', 'baking powder', 'cinnamon', 'salt', 'egg yolk', 'sunflower oil', 'sunflower oil', 'caster sugar', 'cinnamon', 'lemon curd', 'double cream']"
American,Clam chowder and potatoes,"['clams', 'onion', 'leek', 'carrot', 'parsley', 'thyme', 'white wine', 'onion', 'butter', 'chicken stock', 'double cream', 'cream', 'parsley']"
American,Clam chowder,"['clams', 'butter', 'bacon', 'onions', 'milk', 'double cream', 'bay leaf', 'nutmeg', 'white pepper', 'parsley', 'sourdough bread']"
American,Clam chowder in sourdough bowls,"['clams', 'waxy potatoes', 'butter', 'bacon', 'shallot', 'leek', 'celery', 'plain flour', 'milk', 'double cream', 'bay leaf', 'white fish', 'salt', 'black peppermill', 'nutmeg', 'parsley']"
American,The Biker burger,"['steak', 'bone marrow', 'black pepper', 'mayonnaise', 'ketchup', 'lemon juice', 'gherkin', 'garlic', 'chipotle']"
American,Clementine and almond cake,"['clementines', 'eggs', 'lemon', 'caster sugar', 'olive oil', 'ground almonds', 'baking powder', 'caster sugar', 'lemon', 'caster sugar', 'cream', 'oranges']"
American,Club sandwich,"['vegetable oil', 'bacon', 'chicken breast', 'bread', 'mayonnaise', 'lettuce', 'tomato', 'black pepper']"
American,Cookies and cream cheesecake,"['butter', 'gelatine', 'cream cheese', 'sugar', 'salt', 'cream', 'vanilla extract', 'white chocolate', 'digestive biscuits', 'white chocolate']"
American,Cornbread with spiced Cajun-style beans,"['self-raising flour', 'polenta', 'baking powder', 'lemon', 'cayenne pepper', 'garlic', 'black pepper', 'vegetable oil', 'vegetable oil', 'red onion', 'celery', 'garlic', 'white pepper', 'thyme', 'oregano', 'cayenne pepper', 'chopped tomatoes', 'vegetable stock', 'kidney beans', 'butter beans']"
American,Cornbread,"['plain flour', 'salt', 'baking powder', 'sugar', 'milk', 'eggs', 'butter', 'sweetcorn', 'sweetcorn']"
American,Corned beef hash with beer-battered onion rings,"['floury potatoes', 'vegetable oil', 'plain flour', 'caster sugar', 'salt', 'vinegar', 'lager', 'onions', 'butter', 'garlic', 'tomatoes', 'corned beef', 'Worcestershire sauce', 'Tabasco']"
